arv|sajand
302671|20
132817|21
43787|19
15798|18
10032|16
9239|17
5787|15
3875|13
3494|14
1989|12
1488|11
834|-1
602|4
582|1
527|2
455|3
408|10
338|5
311|9
301|8
279|7
252|6
170|22
40|27
36|26
21|25
18|24
11|33
9|23
9|28
4|29
3|30
3|31
3|32
2|37
1|34
1|35
