arv|kymnend
60713|1990-ndad
38755|1980-ndad
33462|1970-ndad
30083|1960-ndad
29068|1940-ndad
27114|1930-ndad
24203|1950-ndad
22124|1920-ndad
18805|1900-ndad
17603|1910-ndad
